ReleaseDate,Actual,Forecast,Previous
"Dec 08, 2023 (Nov)",199K,180K,150K
"Nov 03, 2023 (Oct)",150K,180K,297K
"Oct 06, 2023 (Sep)",336K,170K,227K
"Sep 01, 2023 (Aug)",187K,170K,157K
"Aug 04, 2023 (Jul)",187K,200K,185K
"Jul 07, 2023 (Jun)",209K,225K,306K
"Jun 02, 2023 (May)",339K,180K,294K
"May 05, 2023 (Apr)",253K,180K,165K
"Apr 07, 2023 (Mar)",236K,239K,326K
"Mar 10, 2023 (Feb)",311K,205K,504K
"Feb 03, 2023 (Jan)",517K,185K,260K
"Jan 06, 2023 (Dec)",223K,200K,256K
"Dec 02, 2022 (Nov)",263K,200K,284K
"Nov 04, 2022 (Oct)",261K,200K,315K
"Oct 07, 2022 (Sep)",263K,250K,315K
"Sep 02, 2022 (Aug)",315K,300K,526K
"Aug 05, 2022 (Jul)",528K,250K,398K
"Jul 08, 2022 (Jun)",372K,268K,384K
"Jun 03, 2022 (May)",390K,325K,436K
"May 06, 2022 (Apr)",428K,391K,428K
"Apr 01, 2022 (Mar)",431K,490K,750K
"Mar 04, 2022 (Feb)",678K,400K,481K
"Feb 04, 2022 (Jan)",467K,150K,510K
"Jan 07, 2022 (Dec)",199K,400K,249K
"Dec 03, 2021 (Nov)",210K,550K,546K
"Nov 05, 2021 (Oct)",531K,450K,312K
"Oct 08, 2021 (Sep)",194K,500K,366K
"Sep 03, 2021 (Aug)",235K,750K,"1,053K"
"Aug 06, 2021 (Jul)",943K,870K,938K
"Jul 02, 2021 (Jun)",850K,700K,583K
"Jun 04, 2021 (May)",559K,650K,278K
"May 07, 2021 (Apr)",266K,978K,770K
"Apr 02, 2021 (Mar)",916K,647K,468K
"Mar 05, 2021 (Feb)",379K,182K,166K
"Feb 05, 2021 (Jan)",49K,50K,-227K
"Jan 08, 2021 (Dec)",-140K,71K,336K
"Dec 04, 2020 (Nov)",245K,469K,610K
"Nov 06, 2020 (Oct)",638K,600K,672K
"Oct 02, 2020 (Sep)",661K,850K,"1,489K"
"Sep 04, 2020 (Aug)","1,371K","1,400K","1,734K"
"Aug 07, 2020 (Jul)","1,763K","1,600K","4,791K"
"Jul 02, 2020 (Jun)","4,800K","3,000K","2,699K"
"Jun 05, 2020 (May)","2,509K","-8,000K","-20,687K"
"May 08, 2020 (Apr)","-20,537K","-22,000K",-870K
"Apr 03, 2020 (Mar)",-701K,-100K,275K
"Mar 06, 2020 (Feb)",273K,175K,273K
"Feb 07, 2020 (Jan)",225K,160K,147K
"Jan 10, 2020 (Dec)",145K,164K,256K
"Dec 06, 2019 (Nov)",266K,186K,156K
"Nov 01, 2019 (Oct)",128K,89K,180K
"Oct 04, 2019 (Sep)",136K,140K,168K
"Sep 06, 2019 (Aug)",130K,160K,159K
"Aug 02, 2019 (Jul)",164K,164K,193K
"Jul 05, 2019 (Jun)",224K,160K,72K
"Jun 07, 2019 (May)",75K,185K,224K
"May 03, 2019 (Apr)",263K,181K,189K
"Apr 05, 2019 (Mar)",196K,175K,33K
"Mar 08, 2019 (Feb)",20K,181K,311K
"Feb 01, 2019 (Jan)",304K,165K,222K
"Jan 04, 2019 (Dec)",312K,178K,176K
"Dec 07, 2018 (Nov)",155K,200K,237K
"Nov 02, 2018 (Oct)",250K,193K,118K
"Oct 05, 2018 (Sep)",134K,185K,270K
"Sep 07, 2018 (Aug)",201K,191K,147K
"Aug 03, 2018 (Jul)",157K,193K,248K
"Jul 06, 2018 (Jun)",213K,200K,244K
"Jun 01, 2018 (May)",223K,189K,159K
"May 04, 2018 (Apr)",164K,189K,135K
"Apr 06, 2018 (Mar)",103K,193K,326K
"Mar 09, 2018 (Feb)",313K,200K,239K
"Feb 02, 2018 (Jan)",200K,184K,160K
"Jan 05, 2018 (Dec)",148K,190K,252K
"Dec 08, 2017 (Nov)",228K,200K,244K
"Nov 03, 2017 (Oct)",261K,310K,18K
"Oct 06, 2017 (Sep)",-33K,90K,169K
"Sep 01, 2017 (Aug)",156K,180K,189K
"Aug 04, 2017 (Jul)",209K,183K,231K
"Jul 07, 2017 (Jun)",222K,179K,152K
"Jun 02, 2017 (May)",138K,185K,174K
"May 05, 2017 (Apr)",211K,185K,79K
"Apr 07, 2017 (Mar)",98K,180K,219K
"Mar 10, 2017 (Feb)",235K,200K,238K
"Feb 03, 2017 (Jan)",227K,175K,157K
"Jan 06, 2017 (Dec)",156K,178K,204K
"Dec 02, 2016 (Nov)",178K,175K,142K
"Nov 04, 2016 (Oct)",161K,175K,191K
"Oct 07, 2016 (Sep)",156K,175K,167K
"Sep 02, 2016 (Aug)",151K,180K,275K
"Aug 05, 2016 (Jul)",255K,180K,292K
"Jul 08, 2016 (Jun)",287K,175K,11K
"Jun 03, 2016 (May)",38K,164K,123K
"May 06, 2016 (Apr)",160K,202K,208K
"Apr 01, 2016 (Mar)",215K,205K,245K
"Mar 04, 2016 (Feb)",242K,190K,172K
"Feb 05, 2016 (Jan)",151K,190K,262K
"Jan 08, 2016 (Dec)",292K,200K,252K
"Dec 04, 2015 (Nov)",211K,200K,298K
"Nov 06, 2015 (Oct)",271K,180K,137K
"Oct 02, 2015 (Sep)",142K,203K,136K
"Sep 04, 2015 (Aug)",173K,220K,245K
"Aug 07, 2015 (Jul)",215K,223K,231K
"Jul 02, 2015 (Jun)",223K,230K,254K
"Jun 05, 2015 (May)",280K,225K,221K
"May 08, 2015 (Apr)",223K,224K,85K
"Apr 03, 2015 (Mar)",126K,245K,264K
"Mar 06, 2015 (Feb)",295K,240K,239K
"Feb 06, 2015 (Jan)",257K,234K,329K
"Jan 09, 2015 (Dec)",252K,240K,353K
"Dec 05, 2014 (Nov)",321K,225K,243K
"Nov 07, 2014 (Oct)",214K,231K,256K
"Oct 03, 2014 (Sep)",248K,215K,180K
5-Sep-14,142K,225K,212K
1-Aug-14,209K,233K,298K
3-Jul-14,288K,212K,224K
6-Jun-14,217K,218K,282K
2-May-14,288K,210K,203K
4-Apr-14,192K,200K,197K
7-Mar-14,175K,149K,129K
7-Feb-14,113K,185K,75K
10-Jan-14,74K,196K,241K
6-Dec-13,203K,180K,200K
8-Nov-13,204K,125K,163K
22-Oct-13,148K,180K,193K
6-Sep-13,169K,180K,104K
2-Aug-13,162K,184K,188K
5-Jul-13,195K,165K,195K
7-Jun-13,175K,170K,149K
3-May-13,165K,145K,138K
5-Apr-13,88K,200K,268K
8-Mar-13,236K,160K,119K
1-Feb-13,157K,160K,196K
4-Jan-13,155K,150K,161K
7-Dec-12,146K,93K,138K
2-Nov-12,171K,125K,148K
5-Oct-12,114K,113K,142K
7-Sep-12,96K,125K,141K
3-Aug-12,163K,100K,64K
6-Jul-12,80K,90K,77K
1-Jun-12,69K,150K,77K
4-May-12,115K,170K,154K
6-Apr-12,120K,203K,240K
9-Mar-12,227K,210K,284K
3-Feb-12,243K,150K,203K
6-Jan-12,200K,150K,100K
2-Dec-11,120K,120K,100K
4-Nov-11,80K,95K,158K
7-Oct-11,103K,53K,57K
2-Sep-11,0K,74K,85K
5-Aug-11,117K,95K,46K
8-Jul-11,18K,89K,25K
3-Jun-11,54K,169K,232K
6-May-11,244K,185K,221K
1-Apr-11,216K,188K,194K
4-Mar-11,192K,180K,63K
4-Feb-11,36K,150K,121K
7-Jan-11,103K,150K,71K
3-Dec-10,39K,140K,172K
5-Nov-10,151K,60K,-41K
8-Oct-10,-95K,3K,-57K
3-Sep-10,-54K,-118K,-54K
6-Aug-10,-131K,-65K,-221K
2-Jul-10,-125K,-100K,433K
4-Jun-10,431K,500K,290K
7-May-10,290K,187K,230K
2-Apr-10,162K,190K,-14K
5-Mar-10,-36K,-55K,-26K
5-Feb-10,-20K,15K,-150K
8-Jan-10,-85K,0K,4K
4-Dec-09,-11K,-114K,-111K
6-Nov-09,-190K,-166K,-219K
2-Oct-09,-263K,-190K,-201K
4-Sep-09,-216K,-220K,-276K
7-Aug-09,-247K,-330K,-443K
2-Jul-09,-467K,-375K,-322K
5-Jun-09,-345K,-521K,-504K
8-May-09,-539K,-580K,-699K
3-Apr-09,-663K,-662K,-651K
6-Mar-09,-651K,-636K,-598K
6-Feb-09,-598K,-530K,-524K
9-Jan-09,-524K,-475K,-533K
5-Dec-08,-533K,-320K,-240K
7-Nov-08,-240K,-200K,-159K
3-Oct-08,-159K,-100K,-84K
5-Sep-08,-84K,-73K,-51K
1-Aug-08,-51K,-75K,-62K
3-Jul-08,-62K,-60K,-49K
6-Jun-08,-49K,-57K,-20K
2-May-08,-20K,-80K,-80K
4-Apr-08,-80K,-50K,-63K
7-Mar-08,-63K,25K,-17K
"Feb 01, 2008 (Jan)",-22K,,18K
"Jan 04, 2008 (Dec)",82K,,94K
"Dec 07, 2007 (Nov)",115K,,166K
"Nov 02, 2007 (Oct)",170K,,110K
"Oct 05, 2007 (Sep)",96K,,-4K
"Sep 07, 2007 (Aug)",93K,,92K
"Aug 03, 2007 (Jul)",68K,,132K
"Jul 06, 2007 (Jun)",69K,,157K
"Jun 01, 2007 (May)",190K,,88K
"May 04, 2007 (Apr)",80K,,180K
"Apr 06, 2007 (Mar)",177K,,97K
"Mar 09, 2007 (Feb)",97K,,111K
"Feb 02, 2007 (Jan)",237K,,172K
"Jan 05, 2007 (Dec)",172K,,209K
"Dec 08, 2006 (Nov)",209K,,3K
"Nov 03, 2006 (Oct)",3K,,156K
"Oct 06, 2006 (Sep)",156K,,185K
"Sep 01, 2006 (Aug)",185K,,206K
"Aug 04, 2006 (Jul)",206K,,77K
"Jul 07, 2006 (Jun)",77K,,24K
"Jun 02, 2006 (May)",24K,,182K
"May 05, 2006 (Apr)",182K,,281K
"Apr 07, 2006 (Mar)",281K,,315K
"Mar 10, 2006 (Feb)",315K,,277K
"Feb 03, 2006 (Jan)",277K,,158K
"Jan 06, 2006 (Dec)",158K,,337K
"Dec 02, 2005 (Nov)",337K,,84K
"Nov 04, 2005 (Oct)",84K,,66K
"Oct 07, 2005 (Sep)",66K,,196K
"Sep 02, 2005 (Aug)",196K,,375K
"Aug 05, 2005 (Jul)",375K,,243K
"Jul 08, 2005 (Jun)",243K,,176K
"Jun 03, 2005 (May)",176K,,363K
"May 06, 2005 (Apr)",363K,,135K
"Apr 01, 2005 (Mar)",135K,,239K
"Mar 04, 2005 (Feb)",239K,,134K
"Feb 04, 2005 (Jan)",134K,,129K
"Jan 07, 2005 (Dec)",129K,,64K
"Dec 03, 2004 (Nov)",64K,,345K
"Nov 05, 2004 (Oct)",345K,,162K
"Oct 08, 2004 (Sep)",162K,,132K
"Sep 03, 2004 (Aug)",132K,,33K
"Aug 06, 2004 (Jul)",33K,,74K
"Jul 02, 2004 (Jun)",74K,,308K
"Jun 04, 2004 (May)",308K,,248K
"May 07, 2004 (Apr)",248K,,331K
"Apr 02, 2004 (Mar)",331K,,46K
"Mar 05, 2004 (Feb)",46K,,160K
"Feb 06, 2004 (Jan)",160K,,123K
"Jan 09, 2004 (Dec)",123K,,17K
"Dec 05, 2003 (Nov)",17K,,196K
"Nov 07, 2003 (Oct)",196K,,103K
"Oct 03, 2003 (Sep)",103K,,-43K
"Sep 05, 2003 (Aug)",-43K,,24K
"Aug 01, 2003 (Jul)",24K,,9K
"Jul 03, 2003 (Jun)",9K,,-10K
"Jun 06, 2003 (May)",-10K,,-44K
"May 02, 2003 (Apr)",-44K,,-210K
"Apr 04, 2003 (Mar)",-210K,,-151K
"Mar 07, 2003 (Feb)",-151K,,91K
"Feb 07, 2003 (Jan)",91K,,-157K
"Jan 10, 2003 (Dec)",-157K,,10K