Release Date,Time,Actual,Forecast,Previous,ActualMinusPreviousInPercent,UnemploymentOutcome
"Friday, December 8, 2023",8:30,3.70%,3.90%,3.90%,-0.2000,TIGHT
"Friday, November 3, 2023",7:30,3.90%,3.80%,3.80%,0.1000,BASELINE
"Friday, October 6, 2023",7:30,3.80%,3.70%,3.80%,0.0000,BASELINE
"Friday, September 1, 2023",7:30,3.80%,3.50%,3.50%,0.3000,LOOSE
"Friday, August 4, 2023",7:30,3.50%,3.60%,3.60%,-0.1000,BASELINE
"Friday, July 7, 2023",7:30,3.60%,3.60%,3.70%,-0.1000,BASELINE
"Friday, June 2, 2023",7:30,3.70%,3.50%,3.40%,0.3000,LOOSE
"Friday, May 5, 2023",7:30,3.40%,3.60%,3.50%,-0.1000,BASELINE
"Friday, April 7, 2023",7:30,3.50%,3.60%,3.60%,-0.1000,BASELINE
"Friday, March 10, 2023",8:30,3.60%,3.40%,3.40%,0.2000,LOOSE
"Friday, February 3, 2023",8:30,3.40%,3.60%,3.50%,-0.1000,BASELINE
"Friday, January 6, 2023",8:30,3.50%,3.70%,3.60%,-0.1000,BASELINE
"Friday, December 2, 2022",7:30,3.70%,3.70%,3.70%,0.0000,BASELINE
"Friday, November 4, 2022",7:30,3.70%,3.60%,3.50%,0.2000,LOOSE
"Friday, October 7, 2022",7:30,3.50%,3.70%,3.70%,-0.2000,TIGHT
"Friday, September 2, 2022",7:30,3.70%,3.50%,3.50%,0.2000,LOOSE
"Friday, August 5, 2022",7:30,3.50%,3.60%,3.60%,-0.1000,BASELINE
"Friday, July 8, 2022",7:30,3.60%,3.60%,3.60%,0.0000,BASELINE
"Friday, June 3, 2022",7:30,3.60%,3.50%,3.60%,0.0000,BASELINE
"Friday, May 6, 2022",7:30,3.60%,3.50%,3.60%,0.0000,BASELINE
"Friday, April 1, 2022",7:30,3.60%,3.70%,3.80%,-0.2000,TIGHT
"Friday, March 4, 2022",8:30,3.80%,3.90%,4.00%,-0.2000,TIGHT
"Friday, February 4, 2022",8:30,4.00%,3.90%,3.90%,0.1000,BASELINE
"Friday, January 7, 2022",8:30,3.90%,4.10%,4.20%,-0.3000,TIGHT
"Friday, December 3, 2021",8:30,4.20%,4.50%,4.60%,-0.4000,TIGHT
"Friday, November 5, 2021",7:30,4.60%,4.70%,4.80%,-0.2000,TIGHT
"Friday, October 8, 2021",7:30,4.80%,5.10%,5.20%,-0.4000,TIGHT
"Friday, September 3, 2021",7:30,5.20%,5.20%,5.40%,-0.2000,TIGHT
"Friday, August 6, 2021",7:30,5.40%,5.70%,5.90%,-0.5000,TIGHT
"Friday, July 2, 2021",7:30,5.90%,5.70%,5.80%,0.1000,BASELINE
"Friday, June 4, 2021",7:30,5.80%,5.90%,6.10%,-0.3000,TIGHT
"Friday, May 7, 2021",7:30,6.10%,5.80%,6.00%,0.1000,BASELINE
"Friday, April 2, 2021",7:30,6.00%,6.00%,6.20%,-0.2000,TIGHT
"Wednesday, May 5, 2021",8:30,6.20%,6.30%,6.30%,-0.1000,BASELINE
"Friday, February 5, 2021",8:30,6.30%,6.70%,6.70%,-0.4000,TIGHT
"Friday, January 8, 2021",8:30,6.70%,6.80%,6.70%,0.0000,BASELINE
"Friday, December 4, 2020",8:30,6.70%,6.80%,6.90%,-0.2000,TIGHT
"Friday, November 6, 2020",8:30,6.90%,7.70%,7.90%,-1.0000,TIGHT
"Friday, October 2, 2020",7:30,7.90%,8.20%,8.40%,-0.5000,TIGHT
"Friday, September 4, 2020",7:30,8.40%,9.80%,10.20%,-1.8000,TIGHT
"Friday, August 7, 2020",7:30,10.20%,10.50%,11.10%,-0.9000,TIGHT
"Thursday, July 2, 2020",7:30,11.10%,12.30%,13.30%,-2.2000,TIGHT
"Friday, June 5, 2020",7:30,13.30%,19.70%,14.70%,-1.4000,TIGHT
"Friday, May 8, 2020",7:30,14.70%,16.00%,4.40%,10.3000,LOOSE
"Friday, April 3, 2020",7:30,4.40%,3.80%,3.50%,0.9000,LOOSE
"Friday, March 6, 2020",8:30,3.50%,3.60%,3.60%,-0.1000,BASELINE
"Friday, February 7, 2020",8:30,3.60%,3.50%,3.50%,0.1000,BASELINE
"Friday, January 10, 2020",8:30,3.50%,3.50%,3.50%,0.0000,BASELINE
"Friday, December 6, 2019",8:30,3.50%,3.60%,3.60%,-0.1000,BASELINE
"Friday, November 1, 2019",7:30,3.60%,3.60%,3.50%,0.1000,BASELINE
"Friday, October 4, 2019",7:30,3.50%,3.70%,3.70%,-0.2000,TIGHT
"Friday, September 6, 2019",7:30,3.70%,3.70%,3.70%,0.0000,BASELINE
"Friday, August 2, 2019",7:30,3.70%,3.70%,3.70%,0.0000,BASELINE
"Friday, July 5, 2019",7:30,3.70%,3.60%,3.60%,0.1000,BASELINE
"Friday, June 7, 2019",7:30,3.60%,3.60%,3.60%,0.0000,BASELINE
"Friday, May 3, 2019",7:30,3.60%,3.80%,3.80%,-0.2000,TIGHT
"Friday, April 5, 2019",7:30,3.80%,3.80%,3.80%,0.0000,BASELINE
"Friday, March 8, 2019",8:30,3.80%,3.90%,4.00%,-0.2000,TIGHT
"Friday, February 1, 2019",8:30,4.00%,3.90%,3.90%,0.1000,BASELINE
"Friday, January 4, 2019",8:30,3.90%,3.70%,3.70%,0.2000,LOOSE
"Friday, December 7, 2018",8:30,3.70%,3.70%,3.70%,0.0000,BASELINE
"Friday, November 2, 2018",7:30,3.70%,3.70%,3.70%,0.0000,BASELINE
"Friday, October 5, 2018",7:30,3.70%,3.80%,3.90%,-0.2000,TIGHT
"Friday, September 7, 2018",7:30,3.90%,3.80%,3.90%,0.0000,BASELINE
"Friday, August 3, 2018",7:30,3.90%,3.90%,4.00%,-0.1000,BASELINE
"Friday, July 6, 2018",7:30,4.00%,3.80%,3.80%,0.2000,LOOSE
"Friday, June 1, 2018",7:30,3.80%,3.90%,3.90%,-0.1000,BASELINE
"Friday, May 4, 2018",7:30,3.90%,4.00%,4.10%,-0.2000,TIGHT
"Friday, April 6, 2018",7:30,4.10%,4.00%,4.10%,0.0000,BASELINE
"Friday, March 9, 2018",8:30,4.10%,4.00%,4.10%,0.0000,BASELINE
"Friday, February 2, 2018",8:30,4.10%,4.10%,4.10%,0.0000,BASELINE
"Friday, January 5, 2018",8:30,4.10%,4.10%,4.10%,0.0000,BASELINE
"Friday, December 8, 2017",8:30,4.10%,4.10%,4.10%,0.0000,BASELINE
"Friday, November 3, 2017",7:30,4.10%,4.20%,4.20%,-0.1000,BASELINE
"Friday, October 6, 2017",7:30,4.20%,4.40%,4.40%,-0.2000,TIGHT
"Friday, September 1, 2017",7:30,4.40%,4.30%,4.30%,0.1000,BASELINE
"Friday, August 4, 2017",7:30,4.30%,4.30%,4.40%,-0.1000,BASELINE
"Friday, July 7, 2017",7:30,4.40%,4.30%,4.30%,0.1000,BASELINE
"Friday, June 2, 2017",7:30,4.30%,4.40%,4.40%,-0.1000,BASELINE
"Friday, May 5, 2017",7:30,4.40%,4.60%,4.50%,-0.1000,BASELINE
"Friday, April 7, 2017",7:30,4.50%,4.70%,4.70%,-0.2000,TIGHT
"Friday, March 10, 2017",8:30,4.70%,4.70%,4.80%,-0.1000,BASELINE
"Friday, February 3, 2017",8:30,4.80%,4.70%,4.70%,0.1000,BASELINE
"Friday, January 6, 2017",8:30,4.70%,4.70%,4.60%,0.1000,BASELINE
"Friday, December 2, 2016",8:30,4.60%,4.90%,4.90%,-0.3000,TIGHT
"Friday, November 4, 2016",7:30,4.90%,4.90%,5.00%,-0.1000,BASELINE
"Friday, October 7, 2016",7:30,5.00%,4.90%,4.90%,0.1000,BASELINE
"Friday, September 2, 2016",7:30,4.90%,4.80%,4.90%,0.0000,BASELINE
"Friday, August 5, 2016",7:30,4.90%,4.80%,4.90%,0.0000,BASELINE
"Friday, July 8, 2016",7:30,4.90%,4.80%,4.70%,0.2000,LOOSE
"Friday, June 3, 2016",7:30,4.70%,4.90%,5.00%,-0.3000,TIGHT
"Friday, May 6, 2016",7:30,5.00%,5.00%,5.00%,0.0000,BASELINE
"Friday, April 1, 2016",7:30,5.00%,4.90%,4.90%,0.1000,BASELINE
"Friday, March 4, 2016",8:30,4.90%,4.90%,4.90%,0.0000,BASELINE
"Friday, February 5, 2016",8:30,4.90%,5.00%,5.00%,-0.1000,BASELINE
"Friday, January 8, 2016",8:30,5.00%,5.00%,5.00%,0.0000,BASELINE
"Friday, December 4, 2015",8:30,5.00%,5.00%,5.00%,0.0000,BASELINE
"Friday, November 6, 2015",8:30,5.00%,5.10%,5.10%,-0.1000,BASELINE
"Friday, October 2, 2015",7:30,5.10%,5.10%,5.10%,0.0000,BASELINE
"Friday, September 4, 2015",7:30,5.10%,5.20%,5.30%,-0.2000,TIGHT
"Friday, August 7, 2015",7:30,5.30%,5.30%,5.30%,0.0000,BASELINE
"Thursday, July 2, 2015",7:30,5.30%,5.40%,5.50%,-0.2000,TIGHT
"Friday, June 5, 2015",7:30,5.50%,5.40%,5.40%,0.1000,BASELINE
"Friday, May 8, 2015",7:30,5.40%,5.40%,5.50%,-0.1000,BASELINE
"Friday, April 3, 2015",7:30,5.50%,5.50%,5.50%,0.0000,BASELINE
"Friday, March 6, 2015",8:30,5.50%,5.60%,5.70%,-0.2000,TIGHT
"Friday, February 6, 2015",8:30,5.70%,5.60%,5.60%,0.1000,BASELINE
"Friday, January 9, 2015",8:30,5.60%,5.70%,5.80%,-0.2000,TIGHT
"Friday, December 5, 2014",8:30,5.80%,5.80%,5.80%,0.0000,BASELINE
"Friday, November 7, 2014",8:30,5.80%,5.90%,5.90%,-0.1000,BASELINE
"Friday, October 3, 2014",7:30,5.90%,6.10%,6.10%,-0.2000,TIGHT
"Friday, September 5, 2014",7:30,6.10%,6.10%,6.20%,-0.1000,BASELINE
"Friday, August 1, 2014",7:30,6.20%,6.10%,6.10%,0.1000,BASELINE
"Thursday, July 3, 2014",7:30,6.10%,6.30%,6.30%,-0.2000,TIGHT
"Friday, June 6, 2014",7:30,6.30%,6.40%,6.30%,0.0000,BASELINE
"Friday, May 2, 2014",7:30,6.30%,6.60%,6.70%,-0.4000,TIGHT
"Friday, April 4, 2014",7:30,6.70%,6.60%,6.70%,0.0000,BASELINE
"Friday, March 7, 2014",8:30,6.70%,6.60%,6.60%,0.1000,BASELINE
"Friday, February 7, 2014",8:30,6.60%,6.70%,6.70%,-0.1000,BASELINE
"Friday, January 10, 2014",8:30,6.70%,7.00%,7.00%,-0.3000,TIGHT
"Friday, December 6, 2013",8:30,7.00%,7.20%,7.30%,-0.3000,TIGHT
"Friday, November 8, 2013",8:30,7.30%,7.30%,7.20%,0.1000,BASELINE
"Tuesday, October 22, 2013",7:30,7.20%,7.30%,7.30%,-0.1000,BASELINE
"Friday, September 6, 2013",7:30,7.30%,7.40%,7.40%,-0.1000,BASELINE
"Friday, August 2, 2013",7:30,7.40%,7.50%,7.60%,-0.2000,TIGHT
"Friday, July 5, 2013",7:30,7.60%,7.50%,7.60%,0.0000,BASELINE
"Friday, June 7, 2013",7:30,7.60%,7.50%,7.50%,0.1000,BASELINE
"Friday, May 3, 2013",7:30,7.50%,7.60%,7.60%,-0.1000,BASELINE
"Friday, April 5, 2013",7:30,7.60%,7.70%,7.70%,-0.1000,BASELINE
"Friday, March 8, 2013",8:30,7.70%,7.90%,7.90%,-0.2000,TIGHT
"Friday, February 1, 2013",8:30,7.90%,7.80%,7.80%,0.1000,BASELINE
"Friday, January 4, 2013",8:30,7.80%,7.70%,7.80%,0.0000,BASELINE
"Friday, December 7, 2012",8:30,7.70%,7.90%,7.90%,-0.2000,TIGHT
"Friday, November 2, 2012",7:30,7.90%,7.90%,7.80%,0.1000,BASELINE
"Friday, October 5, 2012",7:30,7.80%,8.20%,8.10%,-0.3000,TIGHT
"Friday, September 7, 2012",7:30,8.10%,8.30%,8.30%,-0.2000,TIGHT
"Friday, August 3, 2012",7:30,8.30%,8.20%,8.20%,0.1000,BASELINE
"Friday, July 6, 2012",7:30,8.20%,8.20%,8.20%,0.0000,BASELINE
"Friday, June 1, 2012",7:30,8.20%,8.10%,8.10%,0.1000,BASELINE
"Friday, May 4, 2012",7:30,8.10%,8.20%,8.20%,-0.1000,BASELINE
"Friday, April 6, 2012",7:30,8.20%,8.30%,8.30%,-0.1000,BASELINE
"Friday, March 9, 2012",8:30,8.30%,8.30%,8.30%,0.0000,BASELINE
"Friday, February 3, 2012",8:30,8.30%,8.50%,8.50%,-0.2000,TIGHT
"Friday, January 6, 2012",8:30,8.50%,8.70%,8.70%,-0.2000,TIGHT
"Friday, December 2, 2011",8:30,8.60%,9.00%,9.00%,-0.4000,TIGHT
"Friday, November 4, 2011",7:30,9.00%,9.10%,9.10%,-0.1000,BASELINE
"Friday, October 7, 2011",7:30,9.10%,9.10%,9.10%,0.0000,BASELINE
"Friday, September 2, 2011",7:30,9.10%,9.10%,9.10%,0.0000,BASELINE
"Friday, August 5, 2011",7:30,9.10%,9.20%,9.20%,-0.1000,BASELINE
"Friday, July 8, 2011",7:30,9.20%,9.10%,9.10%,0.1000,BASELINE
"Friday, June 3, 2011",7:30,9.10%,9.00%,9.00%,0.1000,BASELINE
"Friday, May 6, 2011",7:30,9.00%,8.80%,8.80%,0.2000,LOOSE
"Friday, April 1, 2011",7:30,8.80%,8.90%,8.90%,-0.1000,BASELINE
"Friday, March 4, 2011",8:30,8.90%,9.10%,9.00%,-0.1000,BASELINE
"Friday, February 4, 2011",8:30,9.00%,9.60%,9.40%,-0.4000,TIGHT
"Friday, January 7, 2011",8:30,9.40%,9.70%,9.80%,-0.4000,TIGHT
"Friday, December 3, 2010",8:30,9.80%,9.60%,9.60%,0.2000,LOOSE
"Friday, November 5, 2010",7:30,9.60%,9.60%,9.60%,0.0000,BASELINE
"Friday, October 8, 2010",7:30,9.60%,9.70%,9.60%,0.0000,BASELINE
"Friday, September 3, 2010",7:30,9.60%,9.60%,9.50%,0.1000,BASELINE
"Friday, August 6, 2010",7:30,9.50%,9.60%,9.50%,0.0000,BASELINE
"Friday, July 2, 2010",7:30,9.50%,9.80%,9.70%,-0.2000,TIGHT
"Friday, June 4, 2010",7:30,9.70%,9.80%,9.90%,-0.2000,TIGHT
"Friday, May 7, 2010",7:30,9.90%,9.70%,9.70%,0.2000,LOOSE
"Friday, April 2, 2010",7:30,9.70%,9.70%,9.70%,0.0000,BASELINE
"Friday, March 5, 2010",8:30,9.70%,9.80%,9.70%,0.0000,BASELINE
"Friday, February 5, 2010",8:30,9.70%,10.00%,10.00%,-0.3000,TIGHT
"Friday, January 8, 2010",8:30,10.00%,10.10%,10.00%,0.0000,BASELINE
"Friday, December 4, 2009",8:30,10.00%,10.20%,10.20%,-0.2000,TIGHT
"Friday, November 6, 2009",8:30,10.20%,9.90%,9.80%,0.4000,LOOSE
"Friday, October 2, 2009",7:30,9.80%,9.80%,9.70%,0.1000,BASELINE
"Friday, September 4, 2009",7:30,9.70%,9.50%,9.40%,0.3000,LOOSE
"Friday, August 7, 2009",7:30,9.40%,9.60%,9.50%,-0.1000,BASELINE
"Thursday, July 2, 2009",7:30,9.50%,9.60%,9.40%,0.1000,BASELINE
"Friday, June 5, 2009",7:30,9.40%,9.20%,8.90%,0.5000,LOOSE
"Friday, May 8, 2009",7:30,8.90%,8.90%,8.50%,0.4000,LOOSE
"Friday, April 3, 2009",7:30,8.50%,8.50%,8.10%,0.4000,LOOSE
"Friday, March 6, 2009",8:30,8.10%,7.90%,7.60%,0.5000,LOOSE
"Friday, February 6, 2009",8:30,7.60%,7.50%,7.20%,0.4000,LOOSE
"Friday, January 9, 2009",8:30,7.20%,7.00%,6.70%,0.5000,LOOSE
"Friday, December 5, 2008",8:30,6.70%,6.80%,6.50%,0.2000,LOOSE
"Friday, November 7, 2008",8:30,6.50%,6.30%,6.10%,0.4000,LOOSE